soma_SN/g_Na
soma_SN/g_Na1_6
soma_SN/g_leak_K
soma_SN/g_leak_Na
soma_SN/g_Kv1_5
soma_SN/g_Kv2
soma_SN/g_Kv4_2
soma_SN/g_M
soma_SN/g_KCa_BK
soma_SN/g_KCa_SK
soma_SN/V_mid_m_Kv4_2
soma_SN/V_mid_h_Kv4_2
soma_SN/V_mid_m_Na1_6
soma_SN/V_mid_h_Na1_6
soma_SN/V_mid_w
soma_SN/R_diffSensed
soma_SN/C_sensed
soma_SN/tau_h_min
soma_SN/tau_h_max
soma_SN/tau_h_Na1_6_max
soma_SN/tau_h_Kv4_2
