g_Na_soma_SN
g_Na1_6_soma_SN
g_leak_K_soma_SN
g_leak_Na_soma_SN
g_Kv1_5_soma_SN
g_Kv2_soma_SN
g_Kv4_2_soma_SN
g_M_soma_SN
g_KCa_BK_soma_SN
g_KCa_SK_soma_SN
V_mid_m_Kv4_2_soma_SN
V_mid_h_Kv4_2_soma_SN
V_mid_m_Na1_6_soma_SN
V_mid_h_Na1_6_soma_SN
V_mid_w_soma_SN
R_diffSensed_soma_SN
C_sensed_soma_SN
tau_h_min_soma_SN
tau_h_max_soma_SN
tau_h_Na1_6_max_soma_SN
tau_h_Kv4_2_soma_SN
